"Season","Year","AEM1","AEM2","AEM3","AEM4","AEM5","AEM6","AEM7","AEM8","AEM9"
"eigen","eigen",1.13509606080726,0.290892665416655,0.134773333231089,0.0804007553055532,0.0555555555555557,0.0424406679166784,0.034989338435625,0.0307103558055579,0.0284746008593588
"Summer","2015",-0.441707654030938,0.42532540417602,-0.3984702312962,-0.361803398874989,0.316227766016838,-0.262865556059568,0.203030723711344,-0.138196601125011,0.0699596195707527
"Autumn","2015",-0.3984702312962,0.262865556059567,-0.0699596195707539,0.13819660112501,-0.316227766016838,0.425325404176023,-0.441707654030937,0.361803398874991,-0.203030723711343
"Winter","2016",-0.316227766016838,1.38777878078145e-17,0.316227766016838,0.447213595499958,-0.316227766016838,-1.9671764217577e-15,0.316227766016837,-0.44721359549996,0.316227766016835
"Spring","2016",-0.203030723711345,-0.262865556059567,0.441707654030939,0.13819660112501,0.316227766016837,-0.42532540417602,0.0699596195707516,0.361803398874992,-0.398470231296199
"Summer","2016",-0.0699596195707541,-0.42532540417602,0.203030723711345,-0.36180339887499,0.316227766016838,0.262865556059568,-0.398470231296198,-0.138196601125012,0.441707654030939
"Autumn","2016",0.0699596195707542,-0.42532540417602,-0.203030723711346,-0.361803398874989,-0.316227766016837,0.262865556059565,0.3984702312962,-0.138196601125009,-0.44170765403094
"Winter","2017",0.203030723711345,-0.262865556059567,-0.441707654030939,0.13819660112501,-0.316227766016839,-0.425325404176019,-0.0699596195707547,0.361803398874988,0.398470231296202
"Spring","2017",0.316227766016838,-8.32667268468868e-17,-0.316227766016838,0.447213595499958,0.316227766016838,2.11636264069171e-16,-0.31622776601684,-0.447213595499955,-0.31622776601684
"Summer","2017",0.3984702312962,0.262865556059567,0.0699596195707539,0.138196601125011,0.316227766016838,0.425325404176018,0.441707654030942,0.361803398874987,0.203030723711347
"Autumn","2017",0.441707654030939,0.42532540417602,0.3984702312962,-0.36180339887499,-0.316227766016838,-0.262865556059565,-0.203030723711347,-0.13819660112501,-0.0699596195707545
