"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"1","FVG",1,"Rarefaction",0,15.0444444444444,14.4304992503224,15.6583896385665,0.258543143079981,0.243679604580099,0.273406681579863
"2","FVG",5,"Rarefaction",0,48.2377647108933,46.3374275489167,50.13810187287,0.64848495405644,0.631992991531609,0.664976916581271
"3","FVG",10,"Rarefaction",0,69.6267834468568,66.8637204087178,72.3898464849958,0.788947484410289,0.775295085302764,0.802599883517813
"4","FVG",15,"Rarefaction",0,83.3806794101791,79.9559783791512,86.805380441207,0.851474527221501,0.840012411875139,0.862936642567863
"5","FVG",20,"Rarefaction",0,93.3818012308974,89.3854197717058,97.378182690089,0.886901858171985,0.876948117418426,0.896855598925545
"6","FVG",25,"Rarefaction",0,101.155934430345,96.6554242494134,105.656444611276,0.909431116186411,0.90045243058021,0.918409801792613
"7","FVG",30,"Rarefaction",0,107.473374296828,102.519427773717,112.427320819939,0.924807377523082,0.916459692995099,0.933155062051066
"8","FVG",35,"Rarefaction",0,112.777454606216,107.40633153656,118.148577675873,0.935818880101751,0.927898726274694,0.943739033928808
"9","FVG",40,"Rarefaction",0,117.34544824655,111.582906817769,123.107989675332,0.943995695150896,0.936380041037276,0.951611349264517
"10","FVG",45,"Rarefaction",0,121.360359537304,115.225234636866,127.495484437741,0.950255713882893,0.942862987654225,0.957648440111561
"11","FVG",49,"Rarefaction",0,124.259494856775,117.836829184521,130.682160529029,0.954284495229807,0.94702702800222,0.961541962457394
"12","FVG",54,"Rarefaction",0,127.568339559541,120.796880251064,134.339798868019,0.95843505643627,0.951306020219574,0.965564092652966
"13","FVG",59,"Rarefaction",0,130.588141036945,123.477749565195,137.698532508695,0.961862337133988,0.954828307834826,0.96889636643315
"14","FVG",64,"Rarefaction",0,133.366971683072,125.925993404336,140.807949961808,0.964762400766293,0.957800643103883,0.971724158428702
"15","FVG",69,"Rarefaction",0,135.940105535726,128.175787738727,143.704423332725,0.967271066239587,0.960367659477929,0.974174473001245
"16","FVG",74,"Rarefaction",0,138.333940741342,130.252744849796,146.415136632888,0.969482610329473,0.962630438783255,0.976334781875691
"17","FVG",79,"Rarefaction",0,140.568719227044,132.176565808821,148.960872645267,0.971462250711845,0.964658962184754,0.978265539238936
"18","FVG",84,"Rarefaction",0,142.660439138733,133.962897124785,151.357981152681,0.97325457550275,0.966500608477311,0.980008542528189
"19","FVG",89,"Rarefaction",0,144.622222222222,135.624643291873,153.619801152571,0.974889217134417,0.968185835667183,0.98159259860165
"20","FVG",90,"Observed",0,145,135.943042821565,154.056957178435,0.975200643292671,0.96850677865031,0.981894507935032
"21","FVG",91,"Extrapolation",0,145.373092544241,136.256952563871,154.489232524611,0.975508207116065,0.968823279193564,0.982193135038566
"22","FVG",96,"Extrapolation",0,147.170285460645,137.76073436479,156.5798365565,0.976989747107354,0.970343578529796,0.983635915684912
"23","FVG",102,"Extrapolation",0,149.183999682672,139.426416530929,158.941582834416,0.978649779329677,0.972045457634155,0.985254101025199
"24","FVG",108,"Extrapolation",0,151.052438209091,140.949429660713,161.155446757468,0.980190051591429,0.973631690916485,0.986748412266373
"25","FVG",113,"Extrapolation",0,152.506080215738,142.116207838056,162.895952593421,0.981388380800391,0.974875791056666,0.987900970544117
"26","FVG",119,"Extrapolation",0,154.134853374037,143.40119711423,164.868509633844,0.982731081713984,0.976285169171407,0.989176994256562
"27","FVG",125,"Extrapolation",0,155.646121699241,144.568814299057,166.723429099424,0.98397691594854,0.977611762296806,0.990342069600274
"28","FVG",131,"Extrapolation",0,157.048362360641,145.627538002316,168.469186718966,0.985132871771821,0.978862653530626,0.991403090013016
"29","FVG",136,"Extrapolation",0,158.139303218485,146.432535057587,169.846071379383,0.986032203443048,0.9798514194458,0.992212987440297
"30","FVG",142,"Extrapolation",0,159.361677901125,147.312612957883,171.410742844368,0.987039884343713,0.980977782930935,0.993101985756492
"31","FVG",148,"Extrapolation",0,160.495866618561,148.106048815879,172.885684421243,0.98797486796579,0.982042479423931,0.993907256507649
"32","FVG",154,"Extrapolation",0,161.548231384478,148.819961799776,174.276500969179,0.988842398920257,0.983049194146006,0.994635603694508
"33","FVG",159,"Extrapolation",0,162.366969388657,149.358989932662,175.374948844653,0.989517336532412,0.983846212806709,0.995188460258116
"34","FVG",165,"Extrapolation",0,163.28434689893,149.944208024392,176.624485773469,0.990273588939248,0.984754944667685,0.995792233210812
"35","FVG",171,"Extrapolation",0,164.135541902032,150.467783866606,177.803299937457,0.990975282912093,0.985614269111525,0.996336296712661
"36","FVG",177,"Extrapolation",0,164.925329012781,150.935218247928,178.915439777634,0.991626354468463,0.986426770785234,0.996825938151692
"37","FVG",182,"Extrapolation",0,165.539782046296,151.285547160281,179.794016932311,0.992132887035786,0.987069839532523,0.99719593453905
"38","FVG",188,"Extrapolation",0,166.228262843802,151.662999074905,180.793526612698,0.992700445379372,0.987802688716139,0.997598202042606
"39","FVG",194,"Extrapolation",0,166.867074464978,151.997733751156,181.7364151788,0.993227058273867,0.988495230146619,0.997958886401115
"40","FVG",200,"Extrapolation",0,167.459800200871,152.293782453796,182.625817947945,0.993715679653117,0.989149535802816,0.998281823503418
"41","VEN",1,"Rarefaction",0,12.0714285714286,11.4472605794996,12.6955965633576,0.288688791698828,0.265246143782851,0.312131439614805
"42","VEN",4,"Rarefaction",0,32.7562152700145,31.3490546673312,34.1633758726977,0.621075075296222,0.594026708462556,0.648123442129888
"43","VEN",8,"Rarefaction",0,47.7681322921628,45.8158166665933,49.7204479177323,0.773155536477734,0.751428667799922,0.794882405155546
"44","VEN",12,"Rarefaction",0,57.3014422540077,54.9216121722735,59.6812723357419,0.842417598576258,0.824854293390263,0.859980903762254
"45","VEN",16,"Rarefaction",0,64.1240731623837,61.3614172908362,66.8867290339311,0.881825792491509,0.866998093886718,0.8966534910963
"46","VEN",19,"Rarefaction",0,68.1483848840913,65.1131257059684,71.1836440622142,0.901606901526507,0.888217005687032,0.914996797365981
"47","VEN",23,"Rarefaction",0,72.5327323823691,69.1456916196588,75.9197731450793,0.920425267949672,0.908443015764432,0.932407520134911
"48","VEN",27,"Rarefaction",0,76.117468805979,72.3893805414012,79.8455570705569,0.933749240382207,0.922790084675016,0.944708396089398
"49","VEN",31,"Rarefaction",0,79.1287489446764,75.0697137843669,83.1877841049859,0.943511889382499,0.933307625408593,0.953716153356405
"50","VEN",35,"Rarefaction",0,81.715887883489,77.3356454072322,86.0961303597459,0.950848067159773,0.941196381345525,0.960499752974021
"51","VEN",38,"Rarefaction",0,83.4411173626534,78.8259143580797,88.0563203672271,0.955198318924487,0.945855450725272,0.964541187123701
"52","VEN",42,"Rarefaction",0,85.5156705680866,80.5941848609444,90.4371562752287,0.959862616672963,0.95081843717043,0.968906796175496
"53","VEN",46,"Rarefaction",0,87.3837902208887,82.1626958600941,92.6048845816832,0.96355228648399,0.954702783613415,0.972401789354564
"54","VEN",50,"Rarefaction",0,89.0875673334189,83.5719321356,94.6032025312378,0.966523871019044,0.957786813064617,0.975260928973471
"55","VEN",53,"Rarefaction",0,90.2765876000373,84.5423569458831,96.0108182541915,0.96839394889276,0.959697415190942,0.977090482594577
"56","VEN",57,"Rarefaction",0,91.7628233496977,85.7388341843918,97.7868125150036,0.970518433027799,0.961827632122529,0.979209233933069
"57","VEN",61,"Rarefaction",0,93.1528050093089,86.8394279785085,99.4661820401093,0.972310570772632,0.963578307602309,0.981042833942956
"58","VEN",65,"Rarefaction",0,94.461243703428,87.8571478132986,101.065339593557,0.973838555112982,0.965022699656553,0.982654410569411
"59","VEN",69,"Rarefaction",0,95.7,88.8021720169797,102.59782798302,0.975147928994083,0.966207595205222,0.984088262782943
"60","VEN",70,"Observed",0,96,89.0280718884963,102.971928111504,0.975452862380659,0.966477807754097,0.98442791700722
"61","VEN",71,"Extrapolation",0,96.2963190184049,89.2499860266049,103.342652010205,0.975754054253288,0.966744828539734,0.984763279966843
"62","VEN",77,"Extrapolation",0,97.9994233648373,90.4997717781812,105.499074951493,0.977485165506786,0.968292561472933,0.986677769540639
"63","VEN",84,"Extrapolation",0,99.8333107548566,91.7890618533795,107.877559656334,0.979349210481576,0.970011748958823,0.988686672004329
"64","VEN",91,"Extrapolation",0,101.515367200939,92.91039596557,110.120338436307,0.98105892770996,0.971662958131527,0.990454897288393
"65","VEN",98,"Extrapolation",0,103.058163068997,93.8792830662959,112.237043071698,0.982627094272766,0.973255444345895,0.991998744199637
