NationalStationID,Year,Month,Day,Time,SampleID,SampleDepth,FitoZoo,ClasseDim,Abbondanza_CD,file_name
M1T2B,2017.0,6.0,21.0,12:32:00,1705C01T2BSWF_001,0.5,F,NF,110348.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2B,2017.0,6.0,21.0,12:32:00,1705C01T2BSWF_002,0.5,F,MF,12193.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2B,2017.0,6.0,21.0,12:32:00,1705C01T2BPWF_001,25.0,F,NF,38710.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2B,2017.0,6.0,21.0,12:32:00,1705C01T2BPWF_002,25.0,F,MF,5402.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2C,2017.0,6.0,21.0,10:54:00,1705C01T2CSWF_001,0.5,F,NF,39089.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2C,2017.0,6.0,21.0,10:54:00,1705C01T2CSWF_002,0.5,F,MF,6767.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2C,2017.0,6.0,21.0,10:54:00,1705C01T2CPWF_001,25.0,F,NF,45081.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T2C,2017.0,6.0,21.0,10:54:00,1705C01T2CPWF_002,25.0,F,MF,1098.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3B,2017.0,5.0,18.0,11:20:00,1705C01T3BSWF_001,0.5,F,NF,7932.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3B,2017.0,5.0,18.0,11:20:00,1705C01T3BSWF_002,0.5,F,MF,3383.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3B,2017.0,5.0,18.0,11:20:00,1705C01T3BPWF_001,25.0,F,NF,10092.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3B,2017.0,5.0,18.0,11:20:00,1705C01T3BPWF_002,25.0,F,MF,870.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3C,2017.0,5.0,18.0,10:00:00,1705C01T3CSWF_001,0.5,F,NF,28597.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3C,2017.0,5.0,18.0,10:00:00,1705C01T3CSWF_002,0.5,F,MF,1870.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3C,2017.0,5.0,18.0,10:00:00,1705C01T3CPWF_001,25.0,F,NF,23243.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T3C,2017.0,5.0,18.0,10:00:00,1705C01T3CPWF_002,25.0,F,MF,4636.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4B,2017.0,5.0,9.0,12:40:00,1705C01T4BSWF_001,0.5,F,NF,79397.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4B,2017.0,5.0,9.0,12:40:00,1705C01T4BSWF_002,0.5,F,MF,139283.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4B,2017.0,5.0,9.0,12:40:00,1705C01T4BPWF_001,25.0,F,NF,100256.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4B,2017.0,5.0,9.0,12:40:00,1705C01T4BPWF_002,25.0,F,MF,111695.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4C,2017.0,5.0,9.0,11:30:00,1705C01T4CSWF_001,0.5,F,NF,60559.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4C,2017.0,5.0,9.0,11:30:00,1705C01T4CSWF_002,0.5,F,MF,43294.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4C,2017.0,5.0,9.0,11:30:00,1705C01T4CPWF_001,25.0,F,NF,119769.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T4C,2017.0,5.0,9.0,11:30:00,1705C01T4CPWF_002,25.0,F,MF,160814.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6B,2017.0,5.0,15.0,12:10:00,1705C01T6BSWF_001,0.5,F,NF,19696.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6B,2017.0,5.0,15.0,12:10:00,1705C01T6BSWF_002,0.5,F,MF,2047.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6B,2017.0,5.0,15.0,12:10:00,1705C01T6BPWF_001,25.0,F,NF,11605.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6B,2017.0,5.0,15.0,12:10:00,1705C01T6BPWF_002,25.0,F,MF,1365.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6C,2017.0,5.0,15.0,10:50:00,1705C01T6CSWF_001,0.5,F,NF,28606.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6C,2017.0,5.0,15.0,10:50:00,1705C01T6CSWF_002,0.5,F,MF,8441.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6C,2017.0,5.0,15.0,10:50:00,1705C01T6CPWF_001,25.0,F,NF,16494.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T6C,2017.0,5.0,15.0,10:50:00,1705C01T6CPWF_002,25.0,F,MF,2721.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1B,2017.0,5.0,30.0,12:43:00,1705C01T1BSWF_001,0.5,F,NF,2040.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1B,2017.0,5.0,30.0,12:43:00,1705C01T1BSWF_002,0.5,F,MF,1440.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1B,2017.0,5.0,30.0,12:43:00,1705C01T1BPWF_001,25.0,F,NF,2340.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
M1T1B,2017.0,5.0,30.0,12:43:00,1705C01T1BPWF_002,25.0,F,MF,1380.0,Modulo_1_20170807131456_ARPA_Calabria_Calabria.xls
